,CUB Classes,NABirds Classes
0,Blue_winged_Warbler,Blue-winged Warbler
1,Wilson_Warbler,Wilson's Warbler
2,Horned_Lark,Horned Lark
3,Fish_Crow,Fish Crow
4,Gray_Catbird,Gray Catbird
5,Boat_tailed_Grackle,Boat-tailed Grackle
6,Red_headed_Woodpecker,Red-headed Woodpecker
7,White_throated_Sparrow,White-throated Sparrow
8,Winter_Wren,Winter Wren
9,Hooded_Oriole,Hooded Oriole
10,Caspian_Tern,Caspian Tern
11,Northern_Flicker,Northern Flicker
12,Prothonotary_Warbler,Prothonotary Warbler
13,Gadwall,Gadwall
14,Pine_Warbler,Pine Warbler
15,Heermann_Gull,Heermann's Gull
16,Herring_Gull,Herring Gull
17,Mourning_Warbler,Mourning Warbler
18,Vermilion_Flycatcher,Vermilion Flycatcher
19,Indigo_Bunting,Indigo Bunting
20,Cactus_Wren,Cactus Wren
21,Black_Tern,Black Tern
22,Nashville_Warbler,Nashville Warbler
23,Lincoln_Sparrow,Lincoln's Sparrow
24,White_crowned_Sparrow,White-crowned Sparrow
25,Common_Yellowthroat,Common Yellowthroat
26,Eared_Grebe,Eared Grebe
27,Brewer_Blackbird,Brewer's Blackbird
28,Magnolia_Warbler,Magnolia Warbler
29,Song_Sparrow,Song Sparrow
30,Pied_billed_Grebe,Pied-billed Grebe
31,Mallard,Mallard
32,Orchard_Oriole,Orchard Oriole
33,Barn_Swallow,Barn Swallow
34,Black_billed_Cuckoo,Black-billed Cuckoo
35,Pileated_Woodpecker,Pileated Woodpecker
36,Anna_Hummingbird,Anna's Hummingbird
37,Gray_crowned_Rosy_Finch,Gray-crowned Rosy-Finch
38,Pacific_Loon,Pacific Loon
39,Ruby_throated_Hummingbird,Ruby-throated Hummingbird
40,Brown_Thrasher,Brown Thrasher
41,American_Pipit,American Pipit
42,Chestnut_sided_Warbler,Chestnut-sided Warbler
43,Palm_Warbler,Palm Warbler
44,Canada_Warbler,Canada Warbler
45,Vesper_Sparrow,Vesper Sparrow
46,Tennessee_Warbler,Tennessee Warbler
47,Western_Grebe,Western Grebe
48,Loggerhead_Shrike,Loggerhead Shrike
49,Warbling_Vireo,Warbling Vireo
50,Field_Sparrow,Field Sparrow
51,Brandt_Cormorant,Brandt's Cormorant
52,Blue_Grosbeak,Blue Grosbeak
53,Carolina_Wren,Carolina Wren
54,White_breasted_Nuthatch,White-breasted Nuthatch
55,Rusty_Blackbird,Rusty Blackbird
56,Western_Wood_Pewee,Western Wood-Pewee
57,Orange_crowned_Warbler,Orange-crowned Warbler
58,Brown_Creeper,Brown Creeper
59,Cliff_Swallow,Cliff Swallow
60,Eastern_Towhee,Eastern Towhee
61,Yellow_breasted_Chat,Yellow-breasted Chat
62,Blue_headed_Vireo,Blue-headed Vireo
63,Chipping_Sparrow,Chipping Sparrow
