cub,comm_inat,sci_inat
California Gull,California gull,Larus californicus,059.California_Gull,03411_Animalia_Chordata_Aves_Charadriiformes_Laridae_Larus_californicus
Savannah Sparrow,Savannah sparrow,Passerculus sandwichensis,127.Savannah_Sparrow,04112_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Passerculus_sandwichensis
Vermilion Flycatcher,Vermilion Flycatcher,Pyrocephalus rubinus,042.Vermilion_Flycatcher,04322_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Pyrocephalus_rubinus
Brown Thrasher,Brown thrasher,Toxostoma rufum,149.Brown_Thrasher,03950_Animalia_Chordata_Aves_Passeriformes_Mimidae_Toxostoma_rufum
Indigo Bunting,Indigo bunting,Passerina cyanea,014.Indigo_Bunting,03716_Animalia_Chordata_Aves_Passeriformes_Cardinalidae_Passerina_cyanea
Carolina Wren,Carolina wren,Thryothorus ludovicianus,195.Carolina_Wren,04261_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Thryothorus_ludovicianus
Green Jay,Green Jay,Cyanocorax yncas,075.Green_Jay,03764_Animalia_Chordata_Aves_Passeriformes_Corvidae_Cyanocorax_yncas
Vesper Sparrow,Vesper sparrow,Pooecetes gramineus,131.Vesper_Sparrow,04120_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Pooecetes_gramineus
Pied Kingfisher,Pied kingfisher,Ceryle rudis,081.Pied_Kingfisher,03549_Animalia_Chordata_Aves_Coraciiformes_Alcedinidae_Ceryle_rudis
Eared Grebe,Eared grebe,Podiceps nigricollis,050.Eared_Grebe,04479_Animalia_Chordata_Aves_Podicipediformes_Podicipedidae_Podiceps_nigricollis
Painted Bunting,Painted bunting,Passerina ciris,016.Painted_Bunting,03715_Animalia_Chordata_Aves_Passeriformes_Cardinalidae_Passerina_ciris
Rusty Blackbird,Rusty blackbird,Euphagus carolinus,011.Rusty_Blackbird,03874_Animalia_Chordata_Aves_Passeriformes_Icteridae_Euphagus_carolinus
Cactus Wren,Cactus wren,Campylorhynchus brunneicapillus,194.Cactus_Wren,04252_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Campylorhynchus_brunneicapillus
Common Raven,Common raven,Corvus corax,107.Common_Raven,03751_Animalia_Chordata_Aves_Passeriformes_Corvidae_Corvus_corax
Kentucky Warbler,Kentucky warbler,Geothlypis formosa,168.Kentucky_Warbler,04048_Animalia_Chordata_Aves_Passeriformes_Parulidae_Geothlypis_formosa
Red-winged Blackbird,Red-winged blackbird,Agelaius phoeniceus,010.Red_winged_Blackbird,03867_Animalia_Chordata_Aves_Passeriformes_Icteridae_Agelaius_phoeniceus
Western Grebe,Western grebe,Aechmophorus occidentalis,053.Western_Grebe,04474_Animalia_Chordata_Aves_Podicipediformes_Podicipedidae_Aechmophorus_occidentalis
Eastern Towhee,Eastern towhee,Pipilo erythrophthalmus,021.Eastern_Towhee,04118_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Pipilo_erythrophthalmus
Cliff Swallow,Cliff swallow,Petrochelidon pyrrhonota,137.Cliff_Swallow,03853_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Petrochelidon_pyrrhonota
White-necked Raven,White-necked raven,Corvus albicollis,108.White_necked_Raven,03747_Animalia_Chordata_Aves_Passeriformes_Corvidae_Corvus_albicollis
Mourning Warbler,Mourning warbler,Geothlypis philadelphia,170.Mourning_Warbler,04049_Animalia_Chordata_Aves_Passeriformes_Parulidae_Geothlypis_philadelphia
Worm-eating Warbler,Worm-eating warbler,Helmitheros vermivorum,181.Worm_eating_Warbler,04052_Animalia_Chordata_Aves_Passeriformes_Parulidae_Helmitheros_vermivorum
Song Sparrow,Song sparrow,Melospiza melodia,129.Song_Sparrow,04107_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Melospiza_melodia
Red-breasted Merganser,Red-breasted merganser,Mergus serrator,090.Red_breasted_Merganser,03261_Animalia_Chordata_Aves_Anseriformes_Anatidae_Mergus_serrator
Canada Warbler,Canada warbler,Cardellina canadensis,162.Canada_Warbler,04046_Animalia_Chordata_Aves_Passeriformes_Parulidae_Cardellina_canadensis
Blue-headed Vireo,Blue-headed vireo,Vireo solitarius,152.Blue_headed_Vireo,04349_Animalia_Chordata_Aves_Passeriformes_Vireonidae_Vireo_solitarius
Palm Warbler,Palm warbler,Setophaga palmarum,174.Palm_Warbler,04079_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_palmarum
Northern Fulmar,Northern fulmar,Fulmarus glacialis,045.Northern_Fulmar,04493_Animalia_Chordata_Aves_Procellariiformes_Procellariidae_Fulmarus_glacialis
Red-bellied Woodpecker,Red-bellied woodpecker,Melanerpes carolinus,189.Red_bellied_Woodpecker,04450_Animalia_Chordata_Aves_Piciformes_Picidae_Melanerpes_carolinus
Scissor-tailed Flycatcher,Scissor-tailed flycatcher,Tyrannus forficatus,041.Scissor_tailed_Flycatcher,04331_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Tyrannus_forficatus
Prairie Warbler,Prairie warbler,Setophaga discolor,176.Prairie_Warbler,04072_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_discolor
Horned Grebe,Horned grebe,Podiceps auritus,051.Horned_Grebe,04475_Animalia_Chordata_Aves_Podicipediformes_Podicipedidae_Podiceps_auritus
Purple Finch,Purple finch,Haemorhous purpureus,035.Purple_Finch,03825_Animalia_Chordata_Aves_Passeriformes_Fringillidae_Haemorhous_purpureus
Clay-colored Sparrow,Clay-colored sparrow,Spizella pallida,117.Clay_colored_Sparrow,04123_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Spizella_pallida
Golden-winged Warbler,Golden-winged warbler,Vermivora chrysoptera,166.Golden_winged_Warbler,04089_Animalia_Chordata_Aves_Passeriformes_Parulidae_Vermivora_chrysoptera
Hooded Warbler,Hooded warbler,Setophaga citrina,167.Hooded_Warbler,04070_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_citrina
American Crow,American crow,Corvus brachyrhynchos,029.American_Crow,03749_Animalia_Chordata_Aves_Passeriformes_Corvidae_Corvus_brachyrhynchos
Louisiana Waterthrush,Louisiana waterthrush,Parkesia motacilla,184.Louisiana_Waterthrush,04061_Animalia_Chordata_Aves_Passeriformes_Parulidae_Parkesia_motacilla
Common Tern,Common tern,Sterna hirundo,144.Common_Tern,03432_Animalia_Chordata_Aves_Charadriiformes_Laridae_Sterna_hirundo
Baltimore Oriole,Baltimore oriole,Icterus galbula,095.Baltimore_Oriole,03880_Animalia_Chordata_Aves_Passeriformes_Icteridae_Icterus_galbula
Winter Wren,Winter wren,Troglodytes hiemalis,199.Winter_Wren,04263_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Troglodytes_hiemalis
Summer Tanager,Summer tanager,Piranga rubra,140.Summer_Tanager,03726_Animalia_Chordata_Aves_Passeriformes_Cardinalidae_Piranga_rubra
Red-headed Woodpecker,Red-headed woodpecker,Melanerpes erythrocephalus,191.Red_headed_Woodpecker,04452_Animalia_Chordata_Aves_Piciformes_Picidae_Melanerpes_erythrocephalus
Field Sparrow,Field sparrow,Spizella pusilla,119.Field_Sparrow,04125_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Spizella_pusilla
Yellow-bellied Flycatcher,Yellow-bellied flycatcher,Empidonax flaviventris,043.Yellow_bellied_Flycatcher,04300_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Empidonax_flaviventris
Hooded Oriole,Hooded oriole,Icterus cucullatus,096.Hooded_Oriole,03879_Animalia_Chordata_Aves_Passeriformes_Icteridae_Icterus_cucullatus
Green-tailed Towhee,Green-tailed towhee,Pipilo chlorurus,148.Green_tailed_Towhee,04117_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Pipilo_chlorurus
Brown Pelican,Brown pelican,Pelecanus occidentalis,100.Brown_Pelican,04393_Animalia_Chordata_Aves_Pelecaniformes_Pelecanidae_Pelecanus_occidentalis
Warbling Vireo,Warbling vireo,Vireo gilvus,155.Warbling_Vireo,04343_Animalia_Chordata_Aves_Passeriformes_Vireonidae_Vireo_gilvus
Tennessee Warbler,Tennessee warbler,Leiothlypis peregrina,179.Tennessee_Warbler,04055_Animalia_Chordata_Aves_Passeriformes_Parulidae_Leiothlypis_peregrina
Dark-eyed Junco,Dark-eyed junco,Junco hyemalis,076.Dark_eyed_Junco,04103_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Junco_hyemalis
Barn Swallow,Barn swallow,Hirundo rustica,136.Barn_Swallow,03849_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Hirundo_rustica
Tropical Kingbird,Tropical kingbird,Tyrannus melancholicus,077.Tropical_Kingbird,04332_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Tyrannus_melancholicus
Brown Creeper,Brown creeper,Certhia americana,028.Brown_Creeper,03728_Animalia_Chordata_Aves_Passeriformes_Certhiidae_Certhia_americana
Blue Grosbeak,Blue grosbeak,Passerina caerulea,054.Blue_Grosbeak,03714_Animalia_Chordata_Aves_Passeriformes_Cardinalidae_Passerina_caerulea
Pied-billed Grebe,Pied-billed grebe,Podilymbus podiceps,052.Pied_billed_Grebe,04480_Animalia_Chordata_Aves_Podicipediformes_Podicipedidae_Podilymbus_podiceps
Evening Grosbeak,Evening grosbeak,Coccothraustes vespertinus,055.Evening_Grosbeak,03815_Animalia_Chordata_Aves_Passeriformes_Fringillidae_Coccothraustes_vespertinus
Cedar Waxwing,Cedar waxwing,Bombycilla cedrorum,186.Cedar_Waxwing,03701_Animalia_Chordata_Aves_Passeriformes_Bombycillidae_Bombycilla_cedrorum
Rufous Hummingbird,Rufous hummingbird,Selasphorus rufus,069.Rufous_Hummingbird,03327_Animalia_Chordata_Aves_Caprimulgiformes_Trochilidae_Selasphorus_rufus
Ovenbird,Ovenbird,Seiurus aurocapilla,099.Ovenbird,04064_Animalia_Chordata_Aves_Passeriformes_Parulidae_Seiurus_aurocapilla
Nashville Warbler,Nashville warbler,Leiothlypis ruficapilla,172.Nashville_Warbler,04056_Animalia_Chordata_Aves_Passeriformes_Parulidae_Leiothlypis_ruficapilla
Red-cockaded Woodpecker,Red-cockaded woodpecker,Dryobates borealis,190.Red_cockaded_Woodpecker,04439_Animalia_Chordata_Aves_Piciformes_Picidae_Dryobates_borealis
Bohemian Waxwing,Bohemian waxwing,Bombycilla garrulus,185.Bohemian_Waxwing,03702_Animalia_Chordata_Aves_Passeriformes_Bombycillidae_Bombycilla_garrulus
Black-footed Albatross,Black-footed albatross,Phoebastria nigripes,001.Black_footed_Albatross,04487_Animalia_Chordata_Aves_Procellariiformes_Diomedeidae_Phoebastria_nigripes
Western Gull,Western gull,Larus occidentalis,066.Western_Gull,03424_Animalia_Chordata_Aves_Charadriiformes_Laridae_Larus_occidentalis
Mallard,Mallard,Anas platyrhynchos,087.Mallard,03201_Animalia_Chordata_Aves_Anseriformes_Anatidae_Anas_platyrhynchos
Black-throated Sparrow,Black-throated sparrow,Amphispiza bilineata,114.Black_throated_Sparrow,04095_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Amphispiza_bilineata
Laysan Albatross,Laysan albatross,Phoebastria immutabilis,002.Laysan_Albatross,04486_Animalia_Chordata_Aves_Procellariiformes_Diomedeidae_Phoebastria_immutabilis
Blue-winged Warbler,Blue-winged warbler,Vermivora cyanoptera,161.Blue_winged_Warbler,04090_Animalia_Chordata_Aves_Passeriformes_Parulidae_Vermivora_cyanoptera
Pacific Loon,Pacific loon,Gavia pacifica,086.Pacific_Loon,03643_Animalia_Chordata_Aves_Gaviiformes_Gaviidae_Gavia_pacifica
Common Yellowthroat,Common yellowthroat,Geothlypis trichas,200.Common_Yellowthroat,04051_Animalia_Chordata_Aves_Passeriformes_Parulidae_Geothlypis_trichas
Tree Swallow,Tree swallow,Tachycineta bicolor,138.Tree_Swallow,03864_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Tachycineta_bicolor
House Sparrow,House sparrow,Passer domesticus,118.House_Sparrow,04133_Animalia_Chordata_Aves_Passeriformes_Passeridae_Passer_domesticus
Boat-tailed Grackle,Boat-tailed grackle,Quiscalus major,049.Boat_tailed_Grackle,03898_Animalia_Chordata_Aves_Passeriformes_Icteridae_Quiscalus_major
Chestnut-sided Warbler,Chestnut-sided warbler,Setophaga pensylvanica,165.Chestnut_sided_Warbler,04080_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_pensylvanica
Ring-billed Gull,Ring-billed gull,Larus delawarensis,064.Ring_billed_Gull,03414_Animalia_Chordata_Aves_Charadriiformes_Laridae_Larus_delawarensis
Gadwall,Gadwall,Mareca strepera,046.Gadwall,03255_Animalia_Chordata_Aves_Anseriformes_Anatidae_Mareca_strepera
Hooded Merganser,Hooded merganser,Lophodytes cucullatus,089.Hooded_Merganser,03250_Animalia_Chordata_Aves_Anseriformes_Anatidae_Lophodytes_cucullatus
Fish Crow,Fish crow,Corvus ossifragus,030.Fish_Crow,03759_Animalia_Chordata_Aves_Passeriformes_Corvidae_Corvus_ossifragus
Pine Grosbeak,Pine grosbeak,Pinicola enucleator,056.Pine_Grosbeak,03830_Animalia_Chordata_Aves_Passeriformes_Fringillidae_Pinicola_enucleator
Bay-breasted Warbler,Bay-breasted warbler,Setophaga castanea,158.Bay_breasted_Warbler,04067_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_castanea
Least Flycatcher,Least flycatcher,Empidonax minimus,039.Least_Flycatcher,04303_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Empidonax_minimus
Acadian Flycatcher,Acadian flycatcher,Empidonax virescens,037.Acadian_Flycatcher,04306_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Empidonax_virescens
American Pipit,American Pipit,Anthus rubescens,104.American_Pipit,03962_Animalia_Chordata_Aves_Passeriformes_Motacillidae_Anthus_rubescens
Grasshopper Sparrow,Grasshopper sparrow,Ammodramus savannarum,121.Grasshopper_Sparrow,04092_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Ammodramus_savannarum
Groove-billed Ani,Groove-billed ani,Crotophaga sulcirostris,004.Groove_billed_Ani,03586_Animalia_Chordata_Aves_Cuculiformes_Cuculidae_Crotophaga_sulcirostris
White-throated Sparrow,White-throated sparrow,Zonotrichia albicollis,133.White_throated_Sparrow,04127_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Zonotrichia_albicollis
Least Tern,Least tern,Sternula antillarum,147.Least_Tern,03436_Animalia_Chordata_Aves_Charadriiformes_Laridae_Sternula_antillarum
White-crowned Sparrow,White-crowned sparrow,Zonotrichia leucophrys,132.White_crowned_Sparrow,04130_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Zonotrichia_leucophrys
Downy Woodpecker,Downy woodpecker,Dryobates pubescens,192.Downy_Woodpecker,04442_Animalia_Chordata_Aves_Piciformes_Picidae_Dryobates_pubescens
Glaucous-winged Gull,Glaucous-winged gull,Larus glaucescens,060.Glaucous_winged_Gull,03417_Animalia_Chordata_Aves_Charadriiformes_Laridae_Larus_glaucescens
Western Meadowlark,Western meadowlark,Sturnella neglecta,088.Western_Meadowlark,03903_Animalia_Chordata_Aves_Passeriformes_Icteridae_Sturnella_neglecta
Black Tern,Black tern,Chlidonias niger,142.Black_Tern,03394_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chlidonias_niger
Olive-sided Flycatcher,Olive-sided flycatcher,Contopus cooperi,040.Olive_sided_Flycatcher,04293_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Contopus_cooperi
Gray Catbird,Gray catbird,Dumetella carolinensis,019.Gray_Catbird,03940_Animalia_Chordata_Aves_Passeriformes_Mimidae_Dumetella_carolinensis
Fox Sparrow,Fox sparrow,Passerella iliaca,120.Fox_Sparrow,04113_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Passerella_iliaca
Pigeon Guillemot,Pigeon guillemot,Cepphus columba,058.Pigeon_Guillemot,03339_Animalia_Chordata_Aves_Charadriiformes_Alcidae_Cepphus_columba
Black-billed Cuckoo,Black-billed cuckoo,Coccyzus erythropthalmus,031.Black_billed_Cuckoo,03583_Animalia_Chordata_Aves_Cuculiformes_Cuculidae_Coccyzus_erythropthalmus
Marsh Wren,Marsh wren,Cistothorus palustris,197.Marsh_Wren,04257_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Cistothorus_palustris
Caspian Tern,Caspian tern,Hydroprogne caspia,143.Caspian_Tern,03406_Animalia_Chordata_Aves_Charadriiformes_Laridae_Hydroprogne_caspia
Bank Swallow,Bank Swallow,Riparia riparia,135.Bank_Swallow,03859_Animalia_Chordata_Aves_Passeriformes_Hirundinidae_Riparia_riparia
American Goldfinch,American goldfinch,Spinus tristis,047.American_Goldfinch,03838_Animalia_Chordata_Aves_Passeriformes_Fringillidae_Spinus_tristis
Yellow-billed Cuckoo,Yellow-billed cuckoo,Coccyzus americanus,033.Yellow_billed_Cuckoo,03582_Animalia_Chordata_Aves_Cuculiformes_Cuculidae_Coccyzus_americanus
Blue Jay,Blue jay,Cyanocitta cristata,073.Blue_Jay,03761_Animalia_Chordata_Aves_Passeriformes_Corvidae_Cyanocitta_cristata
Rose-breasted Grosbeak,Rose-breasted grosbeak,Pheucticus ludovicianus,057.Rose_breasted_Grosbeak,03720_Animalia_Chordata_Aves_Passeriformes_Cardinalidae_Pheucticus_ludovicianus
Ruby-throated Hummingbird,Ruby-throated hummingbird,Archilochus colubris,068.Ruby_throated_Hummingbird,03307_Animalia_Chordata_Aves_Caprimulgiformes_Trochilidae_Archilochus_colubris
Yellow-throated Vireo,Yellow-throated vireo,Vireo flavifrons,157.Yellow_throated_Vireo,04341_Animalia_Chordata_Aves_Passeriformes_Vireonidae_Vireo_flavifrons
Bronzed Cowbird,Bronzed cowbird,Molothrus aeneus,026.Bronzed_Cowbird,03892_Animalia_Chordata_Aves_Passeriformes_Icteridae_Molothrus_aeneus
Gray Kingbird,Gray kingbird,Tyrannus dominicensis,078.Gray_Kingbird,04330_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Tyrannus_dominicensis
Philadelphia Vireo,Philadelphia vireo,Vireo philadelphicus,153.Philadelphia_Vireo,04347_Animalia_Chordata_Aves_Passeriformes_Vireonidae_Vireo_philadelphicus
Rhinoceros Auklet,Rhinoceros auklet,Cerorhinca monocerata,008.Rhinoceros_Auklet,03341_Animalia_Chordata_Aves_Charadriiformes_Alcidae_Cerorhinca_monocerata
Lazuli Bunting,Lazuli bunting,Passerina amoena,015.Lazuli_Bunting,03713_Animalia_Chordata_Aves_Passeriformes_Cardinalidae_Passerina_amoena
Cerulean Warbler,Cerulean warbler,Setophaga cerulea,164.Cerulean_Warbler,04068_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_cerulea
Pine Warbler,Pine warbler,Setophaga pinus,175.Pine_Warbler,04082_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_pinus
Orange-crowned Warbler,Orange-crowned warbler,Leiothlypis celata,173.Orange_crowned_Warbler,04053_Animalia_Chordata_Aves_Passeriformes_Parulidae_Leiothlypis_celata
Orchard Oriole,Orchard oriole,Icterus spurius,097.Orchard_Oriole,03889_Animalia_Chordata_Aves_Passeriformes_Icteridae_Icterus_spurius
Elegant Tern,Elegant tern,Thalasseus elegans,145.Elegant_Tern,03438_Animalia_Chordata_Aves_Charadriiformes_Laridae_Thalasseus_elegans
Belted Kingfisher,Belted kingfisher,Megaceryle alcyon,079.Belted_Kingfisher,03557_Animalia_Chordata_Aves_Coraciiformes_Alcedinidae_Megaceryle_alcyon
Chipping Sparrow,Chipping sparrow,Spizella passerina,116.Chipping_Sparrow,04124_Animalia_Chordata_Aves_Passeriformes_Passerellidae_Spizella_passerina
Pileated Woodpecker,Pileated woodpecker,Dryocopus pileatus,188.Pileated_Woodpecker,04447_Animalia_Chordata_Aves_Piciformes_Picidae_Dryocopus_pileatus
White-eyed Vireo,White-eyed vireo,Vireo griseus,156.White_eyed_Vireo,04344_Animalia_Chordata_Aves_Passeriformes_Vireonidae_Vireo_griseus
White-breasted Nuthatch,White-breasted nuthatch,Sitta carolinensis,094.White_breasted_Nuthatch,04187_Animalia_Chordata_Aves_Passeriformes_Sittidae_Sitta_carolinensis
Ringed Kingfisher,Ringed kingfisher,Megaceryle torquata,082.Ringed_Kingfisher,03559_Animalia_Chordata_Aves_Coraciiformes_Alcedinidae_Megaceryle_torquata
House Wren,House wren,Troglodytes aedon,196.House_Wren,04262_Animalia_Chordata_Aves_Passeriformes_Troglodytidae_Troglodytes_aedon
Bobolink,Bobolink,Dolichonyx oryzivorus,013.Bobolink,03873_Animalia_Chordata_Aves_Passeriformes_Icteridae_Dolichonyx_oryzivorus
