nabirds,comm_inat,sci_inat
Bonaparte's Gull,Bonaparte's gull,Chroicocephalus philadelphia,446,03401_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chroicocephalus_philadelphia
Caspian Tern,Caspian tern,Hydroprogne caspia,448,03406_Animalia_Chordata_Aves_Charadriiformes_Laridae_Hydroprogne_caspia
Black Tern,Black tern,Chlidonias niger,449,03394_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chlidonias_niger
Common Tern,Common tern,Sterna hirundo,450,03432_Animalia_Chordata_Aves_Charadriiformes_Laridae_Sterna_hirundo
Forster's Tern,Forster's tern,Sterna forsteri,451,03431_Animalia_Chordata_Aves_Charadriiformes_Laridae_Sterna_forsteri
Royal Tern,Royal tern,Thalasseus maximus,452,03439_Animalia_Chordata_Aves_Charadriiformes_Laridae_Thalasseus_maximus
Black Skimmer,Black skimmer,Rynchops niger,453,03430_Animalia_Chordata_Aves_Charadriiformes_Laridae_Rynchops_niger
Greater White-fronted Goose,Greater white-fronted goose,Anser albifrons,454,03207_Animalia_Chordata_Aves_Anseriformes_Anatidae_Anser_albifrons
Brant,Brant,Branta bernicla,455,03225_Animalia_Chordata_Aves_Anseriformes_Anatidae_Branta_bernicla
Cackling Goose,Cackling goose,Branta hutchinsii,456,03227_Animalia_Chordata_Aves_Anseriformes_Anatidae_Branta_hutchinsii
Canada Goose,Canada goose,Branta canadensis,457,03226_Animalia_Chordata_Aves_Anseriformes_Anatidae_Branta_canadensis
Mute Swan,Mute swan,Cygnus olor,458,03244_Animalia_Chordata_Aves_Anseriformes_Anatidae_Cygnus_olor
Trumpeter Swan,Trumpeter swan,Cygnus buccinator,459,03240_Animalia_Chordata_Aves_Anseriformes_Anatidae_Cygnus_buccinator
Tundra Swan,Tundra swan,Cygnus columbianus,460,03241_Animalia_Chordata_Aves_Anseriformes_Anatidae_Cygnus_columbianus
American Black Duck,American black duck,Anas rubripes,461,03203_Animalia_Chordata_Aves_Anseriformes_Anatidae_Anas_rubripes
Mottled Duck,Mottled duck,Anas fulvigula,462,03198_Animalia_Chordata_Aves_Anseriformes_Anatidae_Anas_fulvigula
Scaled Quail,Scaled quail,Callipepla squamata,466,03623_Animalia_Chordata_Aves_Galliformes_Odontophoridae_Callipepla_squamata
Northern Bobwhite,Northern bobwhite,Colinus virginianus,467,03624_Animalia_Chordata_Aves_Galliformes_Odontophoridae_Colinus_virginianus
Ruffed Grouse,Ruffed grouse,Bonasa umbellus,468,03627_Animalia_Chordata_Aves_Galliformes_Phasianidae_Bonasa_umbellus
Wild Turkey,Wild turkey,Meleagris gallopavo,469,03634_Animalia_Chordata_Aves_Galliformes_Phasianidae_Meleagris_gallopavo
Pied-billed Grebe,Pied-billed grebe,Podilymbus podiceps,470,04480_Animalia_Chordata_Aves_Podicipediformes_Podicipedidae_Podilymbus_podiceps
Western Grebe,Western grebe,Aechmophorus occidentalis,471,04474_Animalia_Chordata_Aves_Podicipediformes_Podicipedidae_Aechmophorus_occidentalis
Clark's Grebe,Clark's grebe,Aechmophorus clarkii,472,04473_Animalia_Chordata_Aves_Podicipediformes_Podicipedidae_Aechmophorus_clarkii
Wood Stork,Wood stork,Mycteria americana,473,03508_Animalia_Chordata_Aves_Ciconiiformes_Ciconiidae_Mycteria_americana
Brandt's Cormorant,Brandt's cormorant,Phalacrocorax penicillatus,474,04579_Animalia_Chordata_Aves_Suliformes_Phalacrocoracidae_Phalacrocorax_penicillatus
Neotropic Cormorant,Neotropic cormorant,Phalacrocorax brasilianus,475,04575_Animalia_Chordata_Aves_Suliformes_Phalacrocoracidae_Phalacrocorax_brasilianus
Pelagic Cormorant,Pelagic cormorant,Phalacrocorax pelagicus,476,04578_Animalia_Chordata_Aves_Suliformes_Phalacrocoracidae_Phalacrocorax_pelagicus
Anhinga,Anhinga,Anhinga anhinga,477,04564_Animalia_Chordata_Aves_Suliformes_Anhingidae_Anhinga_anhinga
American White Pelican,American white pelican,Pelecanus erythrorhynchos,478,04392_Animalia_Chordata_Aves_Pelecaniformes_Pelecanidae_Pelecanus_erythrorhynchos
Brown Pelican,Brown pelican,Pelecanus occidentalis,479,04393_Animalia_Chordata_Aves_Pelecaniformes_Pelecanidae_Pelecanus_occidentalis
Great Blue Heron,Great blue heron,Ardea herodias,480,04359_Animalia_Chordata_Aves_Pelecaniformes_Ardeidae_Ardea_herodias
Great Egret,Great egret,Ardea alba,481,04355_Animalia_Chordata_Aves_Pelecaniformes_Ardeidae_Ardea_alba
Snowy Egret,Snowy egret,Egretta thula,482,04378_Animalia_Chordata_Aves_Pelecaniformes_Ardeidae_Egretta_thula
Tricolored Heron,Tricolored heron,Egretta tricolor,483,04379_Animalia_Chordata_Aves_Pelecaniformes_Ardeidae_Egretta_tricolor
Cattle Egret,Cattle egret,Bubulcus ibis,484,04369_Animalia_Chordata_Aves_Pelecaniformes_Ardeidae_Bubulcus_ibis
