,Site,Original Name,Fixed Name,Scientific Name
0,https://www.allaboutbirds.org/guide/Black-footed_Albatross,Black_footed_Albatross,Black footed Albatross,Phoebastria nigripes
1,https://www.allaboutbirds.org/guide/Laysan_Albatross/,Laysan_Albatross,Laysan Albatross,Phoebastria immutabilis
2,x,Sooty_Albatross,Sooty Albatross,x
3,https://www.allaboutbirds.org/guide/Groove-billed_Ani,Groove_billed_Ani,Groove billed Ani,Crotophaga sulcirostris
4,x,Crested_Auklet,Crested Auklet,x
5,x,Least_Auklet,Least Auklet,x
6,https://www.allaboutbirds.org/guide/Parakeet_Auklet/,Parakeet_Auklet,Parakeet Auklet,Aethia psittacula
7,https://www.allaboutbirds.org/guide/Rhinoceros_Auklet/,Rhinoceros_Auklet,Rhinoceros Auklet,Cerorhinca monocerata
8,https://www.allaboutbirds.org/guide/Brewers_Blackbird/,Brewer_Blackbird,Brewer Blackbird,Euphagus cyanocephalus
9,https://www.allaboutbirds.org/guide/Red-winged_Blackbird,Red_winged_Blackbird,Red winged Blackbird,Agelaius phoeniceus
10,https://www.allaboutbirds.org/guide/Rusty_Blackbird/,Rusty_Blackbird,Rusty Blackbird,Euphagus carolinus
11,https://www.allaboutbirds.org/guide/Yellow-headed_Blackbird/,Yellow_headed_Blackbird,Yellow headed Blackbird,Xanthocephalus xanthocephalus
12,https://www.allaboutbirds.org/guide/Bobolink/,Bobolink,Bobolink,Dolichonyx oryzivorus
13,https://www.allaboutbirds.org/guide/Indigo_Bunting/,Indigo_Bunting,Indigo Bunting,Passerina cyanea
14,https://www.allaboutbirds.org/guide/Lazuli_Bunting/,Lazuli_Bunting,Lazuli Bunting,Passerina amoena
15,https://www.allaboutbirds.org/guide/Painted_Bunting/,Painted_Bunting,Painted Bunting,Passerina ciris
16,x,Cardinal,Cardinal,x
17,x,Spotted_Catbird,Spotted Catbird,x
18,https://www.allaboutbirds.org/guide/Gray_Catbird/,Gray_Catbird,Gray Catbird,Dumetella carolinensis
19,https://www.allaboutbirds.org/guide/Yellow-breasted_Chat,Yellow_breasted_Chat,Yellow breasted Chat,Icteria virens
20,https://www.allaboutbirds.org/guide/Eastern_Towhee/,Eastern_Towhee,Eastern Towhee,Pipilo erythrophthalmus
21,https://www.allaboutbirds.org/guide/Chuck-wills-widow,Chuck_will_Widow,Chuck will Widow,Antrostomus carolinensis
22,https://www.allaboutbirds.org/guide/Brandts_Cormorant,Brandt_Cormorant,Brandt Cormorant,Urile penicillatus
23,https://www.allaboutbirds.org/guide/Red-faced_Cormorant/,Red_faced_Cormorant,Red faced Cormorant,Urile urile
24,https://www.allaboutbirds.org/guide/Pelagic_Cormorant,Pelagic_Cormorant,Pelagic Cormorant,Urile pelagicus
25,https://www.allaboutbirds.org/guide/Bronzed_Cowbird/,Bronzed_Cowbird,Bronzed Cowbird,Molothrus aeneus
26,https://www.allaboutbirds.org/guide/Shiny_Cowbird/,Shiny_Cowbird,Shiny Cowbird,Molothrus bonariensis
27,https://www.allaboutbirds.org/guide/Brown_Creeper,Brown_Creeper,Brown Creeper,Certhia americana
28,https://www.allaboutbirds.org/guide/American_Crow/,American_Crow,American Crow,Corvus brachyrhynchos
29,https://www.allaboutbirds.org/guide/Fish_Crow/,Fish_Crow,Fish Crow,Corvus ossifragus
30,https://www.allaboutbirds.org/guide/Black-billed_Cuckoo,Black_billed_Cuckoo,Black billed Cuckoo,Coccyzus erythropthalmus
31,https://www.allaboutbirds.org/guide/Mangrove_Cuckoo/,Mangrove_Cuckoo,Mangrove Cuckoo,Coccyzus minor
32,https://www.allaboutbirds.org/guide/Yellow-billed_Cuckoo,Yellow_billed_Cuckoo,Yellow billed Cuckoo,Coccyzus americanus
33,https://www.allaboutbirds.org/guide/Gray-crowned_Rosy-Finch/,Gray_crowned_Rosy_Finch,Gray crowned Rosy Finch,Leucosticte tephrocotis
34,https://www.allaboutbirds.org/guide/Purple_Finch/,Purple_Finch,Purple Finch,Haemorhous purpureus
35,https://www.allaboutbirds.org/guide/Northern_Flicker/,Northern_Flicker,Northern Flicker,Colaptes auratus
36,https://www.allaboutbirds.org/guide/Acadian_Flycatcher/,Acadian_Flycatcher,Acadian Flycatcher,Empidonax virescens
37,https://www.allaboutbirds.org/guide/Great_Crested_Flycatcher,Great_Crested_Flycatcher,Great Crested Flycatcher,Myiarchus crinitus
38,https://www.allaboutbirds.org/guide/Least_Flycatcher/,Least_Flycatcher,Least Flycatcher,Empidonax minimus
39,https://www.allaboutbirds.org/guide/Olive-sided_Flycatcher/,Olive_sided_Flycatcher,Olive sided Flycatcher,Contopus cooperi
40,https://www.allaboutbirds.org/guide/Scissor-tailed_Flycatcher,Scissor_tailed_Flycatcher,Scissor tailed Flycatcher,Tyrannus forficatus
41,https://www.allaboutbirds.org/guide/Vermilion_Flycatcher/,Vermilion_Flycatcher,Vermilion Flycatcher,Pyrocephalus rubinus
42,https://www.allaboutbirds.org/guide/Yellow-bellied_Flycatcher,Yellow_bellied_Flycatcher,Yellow bellied Flycatcher,Empidonax flaviventris
43,https://www.allaboutbirds.org/guide/Magnificent_Frigatebird,Frigatebird,Frigatebird,Fregata magnificens
44,https://www.allaboutbirds.org/guide/Northern_Fulmar/,Northern_Fulmar,Northern Fulmar,Fulmarus glacialis
45,https://www.allaboutbirds.org/guide/Gadwall/,Gadwall,Gadwall,Mareca strepera
46,https://www.allaboutbirds.org/guide/American_Goldfinch/,American_Goldfinch,American Goldfinch,Spinus tristis
47,x,European_Goldfinch,European Goldfinch,x
48,https://www.allaboutbirds.org/guide/Boat-tailed_Grackle,Boat_tailed_Grackle,Boat tailed Grackle,Quiscalus major
49,https://www.allaboutbirds.org/guide/Eared_Grebe/,Eared_Grebe,Eared Grebe,Podiceps nigricollis
50,https://www.allaboutbirds.org/guide/Horned_Grebe/,Horned_Grebe,Horned Grebe,Podiceps auritus
51,https://www.allaboutbirds.org/guide/Pied-billed_Grebe/,Pied_billed_Grebe,Pied billed Grebe,Podilymbus podiceps
52,https://www.allaboutbirds.org/guide/Western_Grebe/,Western_Grebe,Western Grebe,Aechmophorus occidentalis
53,https://www.allaboutbirds.org/guide/Blue_Grosbeak/,Blue_Grosbeak,Blue Grosbeak,Passerina caerulea
54,https://www.allaboutbirds.org/guide/Evening_Grosbeak/,Evening_Grosbeak,Evening Grosbeak,Coccothraustes vespertinus
55,https://www.allaboutbirds.org/guide/Pine_Grosbeak/,Pine_Grosbeak,Pine Grosbeak,Pinicola enucleator
56,https://www.allaboutbirds.org/guide/Rose-breasted_Grosbeak/,Rose_breasted_Grosbeak,Rose breasted Grosbeak,Pheucticus ludovicianus
57,https://www.allaboutbirds.org/guide/Pigeon_Guillemot/,Pigeon_Guillemot,Pigeon Guillemot,Cepphus columba
58,https://www.allaboutbirds.org/guide/California_Gull,California_Gull,California Gull,Larus californicus
59,https://www.allaboutbirds.org/guide/Glaucous-winged_Gull/,Glaucous_winged_Gull,Glaucous winged Gull,Larus glaucescens
60,https://www.allaboutbirds.org/guide/Heermanns_Gull,Heermann_Gull,Heermann Gull,Larus heermanni
61,https://www.allaboutbirds.org/guide/Herring_Gull/,Herring_Gull,Herring Gull,Larus argentatus
62,https://www.allaboutbirds.org/guide/Ivory_Gull,Ivory_Gull,Ivory Gull,Pagophila eburnea
63,https://www.allaboutbirds.org/guide/Ring-billed_Gull,Ring_billed_Gull,Ring billed Gull,Larus delawarensis
64,x,Slaty_backed_Gull,Slaty backed Gull,x
65,https://www.allaboutbirds.org/guide/Western_Gull,Western_Gull,Western Gull,Larus occidentalis
66,https://www.allaboutbirds.org/guide/Annas_Hummingbird/,Anna_Hummingbird,Anna Hummingbird,Calypte anna
67,https://www.allaboutbirds.org/guide/Ruby-throated_Hummingbird/,Ruby_throated_Hummingbird,Ruby throated Hummingbird,Archilochus colubris
68,https://www.allaboutbirds.org/guide/Rufous_Hummingbird/,Rufous_Hummingbird,Rufous Hummingbird,Selasphorus rufus
69,x,Green_Violetear,Green Violetear,x
70,https://www.allaboutbirds.org/guide/Long-tailed_Jaeger/,Long_tailed_Jaeger,Long tailed Jaeger,Stercorarius longicaudus
71,https://www.allaboutbirds.org/guide/Pomarine_Jaeger/,Pomarine_Jaeger,Pomarine Jaeger,Stercorarius pomarinus
72,https://www.allaboutbirds.org/guide/Blue_Jay,Blue_Jay,Blue Jay,Cyanocitta cristata
73,https://www.allaboutbirds.org/guide/Florida_Scrub-Jay,Florida_Jay,Florida Jay,Aphelocoma coerulescens
74,https://www.allaboutbirds.org/guide/Green_Jay/,Green_Jay,Green Jay,Cyanocorax yncas
75,https://www.allaboutbirds.org/guide/Dark-eyed_Junco/,Dark_eyed_Junco,Dark eyed Junco,Junco hyemalis
76,https://www.allaboutbirds.org/guide/Tropical_Kingbird/,Tropical_Kingbird,Tropical Kingbird,Tyrannus melancholicus
77,https://www.allaboutbirds.org/guide/Gray_Kingbird/,Gray_Kingbird,Gray Kingbird,Tyrannus dominicensis
78,https://www.allaboutbirds.org/guide/Belted_Kingfisher,Belted_Kingfisher,Belted Kingfisher,Megaceryle alcyon
79,https://www.allaboutbirds.org/guide/Green_Kingfisher/,Green_Kingfisher,Green Kingfisher,Chloroceryle americana
80,x,Pied_Kingfisher,Pied Kingfisher,x
81,https://www.allaboutbirds.org/guide/Ringed_Kingfisher/,Ringed_Kingfisher,Ringed Kingfisher,Megaceryle torquata
82,x,White_breasted_Kingfisher,White breasted Kingfisher,x
83,x,Red_legged_Kittiwake,Red legged Kittiwake,x
84,https://www.allaboutbirds.org/guide/Horned_Lark/,Horned_Lark,Horned Lark,Eremophila alpestris
85,https://www.allaboutbirds.org/guide/Pacific_Loon/,Pacific_Loon,Pacific Loon,Gavia pacifica
86,https://www.allaboutbirds.org/guide/Mallard/,Mallard,Mallard,Anas platyrhynchos
87,https://www.allaboutbirds.org/guide/Western_Meadowlark/,Western_Meadowlark,Western Meadowlark,Sturnella neglecta
88,https://www.allaboutbirds.org/guide/Hooded_Merganser,Hooded_Merganser,Hooded Merganser,Lophodytes cucullatus
89,https://www.allaboutbirds.org/guide/Red-breasted_Merganser/,Red_breasted_Merganser,Red breasted Merganser,Mergus serrator
90,x,Mockingbird,Mockingbird,x
91,https://www.allaboutbirds.org/guide/Common_Nighthawk,Nighthawk,Nighthawk,Chordeiles minor
92,https://www.allaboutbirds.org/guide/Clarks_Nutcracker/,Clark_Nutcracker,Clark Nutcracker,Nucifraga columbiana
93,https://www.allaboutbirds.org/guide/White-breasted_Nuthatch,White_breasted_Nuthatch,White breasted Nuthatch,Sitta carolinensis
94,https://www.allaboutbirds.org/guide/Baltimore_Oriole/,Baltimore_Oriole,Baltimore Oriole,Icterus galbula
95,https://www.allaboutbirds.org/guide/Hooded_Oriole/,Hooded_Oriole,Hooded Oriole,Icterus cucullatus
